bus_id,grid_cell
way/26671244-220,NZL_73
way/26671244-220,wof-NZL_626
way/33795353-220,NZL_44
way/61455399-220,NZL_87
way/61853727-220,NZL_73
way/61853727-220,wof-NZL_579
way/75609279-220,NZL_87
way/82881422-220,NZL_73
way/82881422-220,wof-NZL_626
way/87837416-220,NZL_96
way/87897292-220,NZL_87
way/87928925-220,NZL_96
way/89411122-220,NZL_95
way/89635947-220,NZL_27
way/89636266-220,NZL_27
way/89636510-220,NZL_27
way/89637173-220,NZL_32
way/89637174-220,NZL_32
way/89637277-220,NZL_30
way/89637277-220,wof-NZL_325
way/270521928-220,NZL_30
way/270521928-220,wof-NZL_325
way/89664063-220,NZL_26
way/89943957-220,NZL_75
way/89943957-220,wof-NZL_581
way/90092620-220,NZL_17
way/90098853-220,NZL_87
way/93419960-220,NZL_102
way/93419960-220,wof-NZL_757
way/93556808-220,NZL_96
way/93713118-220,NZL_78
way/93713118-220,wof-NZL_616
way/93827784-220,NZL_52
way/94053861-220,NZL_85
way/94840399-220,NZL_32
way/95046918-220,NZL_52
way/95048289-220,NZL_55
way/95343089-220,NZL_68
way/95343089-220,wof-NZL_616
way/95344674-220,NZL_81
way/95512216-220,NZL_103
way/95512216-220,wof-NZL_758
way/100957314-220,
way/119877500-220,NZL_98
way/119877500-220,wof-NZL_717
way/148300699-220,NZL_106
way/148300699-220,wof-NZL_716
way/156094589-220,NZL_87
way/161270797-220,NZL_73
way/161270797-220,wof-NZL_626
way/167177413-220,NZL_86
way/167177413-220,wof-NZL_671
way/167283894-220,NZL_106
way/167283894-220,wof-NZL_761
way/167285260-220,NZL_96
way/167285336-220,NZL_92
way/167286837-220,NZL_37
way/167293888-220,NZL_86
way/167293888-220,wof-NZL_624
way/167300914-220,NZL_92
way/167427251-220,NZL_83
way/167572576-220,NZL_92
way/167705537-220,NZL_56
way/167705537-220,wof-NZL_521
way/169512273-220,NZL_96
way/170300247-220,NZL_27
way/180514007-220,NZL_18
way/180519027-220,NZL_19
way/187858674-220,NZL_86
way/187858674-220,wof-NZL_624
way/188180344-220,NZL_72
way/191346761-220,NZL_94
way/232382576-220,NZL_75
way/232382576-220,wof-NZL_581
way/235066414-220,NZL_87
way/255873374-220,NZL_96
way/268826084-220,NZL_43
way/268841395-220,NZL_10
way/268841395-220,wof-NZL_207
way/270012796-220,NZL_27
way/270018358-220,NZL_96
way/270022030-220,NZL_97
way/270022030-220,wof-NZL_716
way/270554679-220,NZL_96
way/270556206-220,NZL_105
way/272195826-220,NZL_9
way/272195826-220,wof-NZL_207
way/272522517-220,NZL_96
way/275188676-220,NZL_96
way/341099346-220,NZL_87
way/359449581-220,NZL_87
way/409049317-220,NZL_103
way/409049317-220,wof-NZL_758
way/412588974-220,NZL_9
way/412588974-220,wof-NZL_207
way/412589726-220,NZL_2
way/412589726-220,wof-NZL_182
way/414953388-220,NZL_25
way/627162826-220,NZL_78
way/627162826-220,wof-NZL_616
way/849110529-220,NZL_87
way/907631032-220,NZL_73
way/907631032-220,wof-NZL_626
way/1018655038-220,NZL_87
way/1026587442-220,NZL_92
way/1034927052-220,NZL_96
way/1099619174-220,NZL_44
way/1167708390-220,NZL_92
way/1363994055-220,NZL_73
way/1363994055-220,wof-NZL_626
relation/17609399-220,NZL_70
relation/17609399-220,wof-NZL_573
NZ26-220,NZL_78
NZ26-220,wof-NZL_616
NZ28-220,NZL_44
NZ4-220,NZL_87
NZ20-220,NZL_94
NZ19-220,NZL_95
NZ37-220,NZL_27
NZ36-220,NZL_27
NZ34-220,NZL_27
NZ39-220,NZL_32
NZ29-220,NZL_44
NZ42-220,NZL_17
NZ41-220,NZL_2
NZ41-220,wof-NZL_182
NZ43-220,NZL_9
NZ43-220,wof-NZL_207
NZ10-220,NZL_86
NZ21-220,NZL_94
NZ16-220,NZL_96
NZ32-220,NZL_33
NZ7-220,NZL_86
NZ7-220,wof-NZL_624
NZ25-220,NZL_92
NZ24-220,NZL_92
NZ40-220,NZL_19
NZ9-220,NZL_86
NZ9-220,wof-NZL_624
NZ11-220,NZL_97
NZ12-220,NZL_97
NZ27-220,NZL_56
NZ27-220,wof-NZL_521
NZ5-220,NZL_86
NZ5-220,wof-NZL_671
NZ2-220,NZL_87
NZ3-220,NZL_87
NZ18-220,NZL_95
NZ6-220,NZL_86
NZ6-220,wof-NZL_671
NZ30-220,NZL_27
NZ1-220,NZL_87
NZ17-220,NZL_96
NZ22-220,NZL_94
NZ31-220,NZL_27
NZ13-220,NZL_106
NZ13-220,wof-NZL_761
NZ14-220,NZL_96
NZ23-220,NZL_94
NZ38-220,NZL_26
NZ8-220,NZL_86
NZ8-220,wof-NZL_671
NZ35-220,NZL_27
NZ33-220,NZL_27
NZ15-220,NZL_96
NZ41-220,NZL_1
way/412589726-220,NZL_3
way/412588974-220,NZL_4
NZ41-220,NZL_5
NZ41-220,NZL_6
way/412589726-220,NZL_7
way/412589726-220,NZL_8
way/268841395-220,NZL_11
way/180519027-220,NZL_12
way/180519027-220,NZL_13
way/180519027-220,NZL_14
NZ42-220,NZL_16
way/180519027-220,NZL_20
way/180519027-220,NZL_21
way/89636510-220,NZL_22
way/270521928-220,NZL_23
way/270521928-220,NZL_24
NZ30-220,NZL_28
NZ30-220,NZL_29
way/94840399-220,NZL_31
NZ32-220,NZL_34
NZ31-220,NZL_35
NZ30-220,NZL_36
way/268826084-220,NZL_38
way/268826084-220,NZL_39
way/1099619174-220,NZL_40
way/1099619174-220,NZL_41
way/95048289-220,NZL_42
way/93827784-220,NZL_45
way/95046918-220,NZL_46
way/95048289-220,NZL_47
way/95048289-220,NZL_48
way/95048289-220,NZL_49
way/95048289-220,NZL_50
way/100957314-220,NZL_51
way/95046918-220,NZL_53
way/95048289-220,NZL_54
way/167705537-220,NZL_57
way/89943957-220,NZL_58
way/89943957-220,NZL_59
way/95046918-220,NZL_60
NZ27-220,NZL_61
way/167705537-220,NZL_62
way/167705537-220,NZL_63
relation/17609399-220,NZL_64
way/232382576-220,NZL_65
way/89943957-220,NZL_66
way/89943957-220,NZL_67
relation/17609399-220,NZL_69
relation/17609399-220,NZL_71
way/232382576-220,NZL_74
way/89943957-220,NZL_76
way/93713118-220,NZL_77
NZ26-220,NZL_79
way/95344674-220,NZL_80
way/191346761-220,NZL_82
way/167427251-220,NZL_84
NZ3-220,NZL_88
way/82881422-220,NZL_89
way/1026587442-220,NZL_90
way/1026587442-220,NZL_91
NZ23-220,NZL_93
NZ5-220,NZL_99
NZ3-220,NZL_100
way/93419960-220,NZL_101
way/270556206-220,NZL_104
way/95512216-220,NZL_107
NZ13-220,NZL_108
way/167283894-220,NZL_109
NZ13-220,NZL_110
way/167283894-220,NZL_111
way/167283894-220,NZL_112
way/412588974-220,wof-NZL_51
NZ41-220,wof-NZL_52
NZ41-220,wof-NZL_53
way/412588974-220,wof-NZL_72
way/412588974-220,wof-NZL_75
NZ41-220,wof-NZL_76
NZ41-220,wof-NZL_77
way/412588974-220,wof-NZL_92
way/412588974-220,wof-NZL_93
way/412588974-220,wof-NZL_94
way/412588974-220,wof-NZL_95
NZ41-220,wof-NZL_100
NZ41-220,wof-NZL_101
NZ41-220,wof-NZL_102
NZ41-220,wof-NZL_104
NZ41-220,wof-NZL_105
way/412588974-220,wof-NZL_116
way/412588974-220,wof-NZL_117
way/412588974-220,wof-NZL_118
way/412588974-220,wof-NZL_119
way/412588974-220,wof-NZL_120
way/412588974-220,wof-NZL_121
way/412588974-220,wof-NZL_122
way/412588974-220,wof-NZL_123
way/412588974-220,wof-NZL_124
way/412588974-220,wof-NZL_125
NZ41-220,wof-NZL_126
NZ41-220,wof-NZL_127
NZ41-220,wof-NZL_128
NZ41-220,wof-NZL_129
NZ41-220,wof-NZL_130
way/412589726-220,wof-NZL_131
way/412588974-220,wof-NZL_141
way/412588974-220,wof-NZL_142
way/412588974-220,wof-NZL_143
way/412588974-220,wof-NZL_144
way/412588974-220,wof-NZL_145
way/412588974-220,wof-NZL_146
way/412588974-220,wof-NZL_147
way/412588974-220,wof-NZL_148
way/412588974-220,wof-NZL_149
way/412588974-220,wof-NZL_150
way/412588974-220,wof-NZL_151
way/412588974-220,wof-NZL_152
NZ41-220,wof-NZL_153
NZ41-220,wof-NZL_154
NZ41-220,wof-NZL_155
way/412589726-220,wof-NZL_156
way/412589726-220,wof-NZL_157
way/412589726-220,wof-NZL_158
way/412588974-220,wof-NZL_167
way/412588974-220,wof-NZL_168
way/412588974-220,wof-NZL_169
way/412588974-220,wof-NZL_170
way/412588974-220,wof-NZL_171
way/412588974-220,wof-NZL_172
way/412588974-220,wof-NZL_173
way/412588974-220,wof-NZL_174
way/412588974-220,wof-NZL_175
way/412588974-220,wof-NZL_176
way/412588974-220,wof-NZL_177
way/412588974-220,wof-NZL_178
way/412588974-220,wof-NZL_179
way/268841395-220,wof-NZL_180
way/412589726-220,wof-NZL_183
way/412589726-220,wof-NZL_184
way/412589726-220,wof-NZL_185
way/412588974-220,wof-NZL_194
way/412588974-220,wof-NZL_195
way/412588974-220,wof-NZL_196
way/412588974-220,wof-NZL_197
way/412588974-220,wof-NZL_198
way/412588974-220,wof-NZL_199
way/412588974-220,wof-NZL_200
way/412588974-220,wof-NZL_201
way/412588974-220,wof-NZL_202
way/412588974-220,wof-NZL_203
way/412588974-220,wof-NZL_204
way/412588974-220,wof-NZL_205
way/412588974-220,wof-NZL_206
way/180519027-220,wof-NZL_211
way/180519027-220,wof-NZL_212
way/180519027-220,wof-NZL_213
way/180519027-220,wof-NZL_214
way/412588974-220,wof-NZL_227
way/412588974-220,wof-NZL_228
way/412588974-220,wof-NZL_229
way/412588974-220,wof-NZL_230
way/412588974-220,wof-NZL_231
way/412588974-220,wof-NZL_232
way/412588974-220,wof-NZL_233
way/412588974-220,wof-NZL_234
way/412588974-220,wof-NZL_235
way/412588974-220,wof-NZL_236
way/412588974-220,wof-NZL_237
way/412588974-220,wof-NZL_238
way/412588974-220,wof-NZL_239
NZ42-220,wof-NZL_240
way/89636510-220,wof-NZL_246
way/89636510-220,wof-NZL_247
way/89636510-220,wof-NZL_248
NZ30-220,wof-NZL_249
NZ30-220,wof-NZL_251
NZ30-220,wof-NZL_252
way/412588974-220,wof-NZL_267
way/412588974-220,wof-NZL_268
way/412588974-220,wof-NZL_269
way/412588974-220,wof-NZL_270
way/412588974-220,wof-NZL_271
way/412588974-220,wof-NZL_274
way/412588974-220,wof-NZL_275
way/412588974-220,wof-NZL_276
way/412588974-220,wof-NZL_277
NZ42-220,wof-NZL_278
NZ42-220,wof-NZL_279
NZ42-220,wof-NZL_280
way/89636510-220,wof-NZL_286
NZ30-220,wof-NZL_287
NZ30-220,wof-NZL_288
NZ30-220,wof-NZL_289
NZ30-220,wof-NZL_290
NZ30-220,wof-NZL_291
NZ30-220,wof-NZL_292
way/95048289-220,wof-NZL_293
way/95048289-220,wof-NZL_294
way/95048289-220,wof-NZL_295
way/89943957-220,wof-NZL_307
way/412588974-220,wof-NZL_311
way/412588974-220,wof-NZL_312
way/412588974-220,wof-NZL_313
way/412588974-220,wof-NZL_314
way/412588974-220,wof-NZL_315
way/270521928-220,wof-NZL_319
way/270521928-220,wof-NZL_320
way/270521928-220,wof-NZL_321
way/270521928-220,wof-NZL_322
way/270521928-220,wof-NZL_323
way/270521928-220,wof-NZL_324
way/270521928-220,wof-NZL_326
NZ30-220,wof-NZL_331
NZ30-220,wof-NZL_332
NZ30-220,wof-NZL_333
NZ30-220,wof-NZL_334
way/95048289-220,wof-NZL_335
way/95048289-220,wof-NZL_336
way/95048289-220,wof-NZL_337
way/95048289-220,wof-NZL_338
way/95048289-220,wof-NZL_339
way/95048289-220,wof-NZL_340
way/232382576-220,wof-NZL_350
way/89943957-220,wof-NZL_353
way/412588974-220,wof-NZL_358
way/412588974-220,wof-NZL_359
way/412588974-220,wof-NZL_360
way/89637277-220,wof-NZL_361
way/89637277-220,wof-NZL_371
way/89637277-220,wof-NZL_372
way/89637277-220,wof-NZL_373
way/94840399-220,wof-NZL_374
way/167286837-220,wof-NZL_375
way/268826084-220,wof-NZL_379
way/1099619174-220,wof-NZL_380
way/95048289-220,wof-NZL_381
way/95048289-220,wof-NZL_382
way/95048289-220,wof-NZL_383
way/95048289-220,wof-NZL_384
way/95048289-220,wof-NZL_385
way/95048289-220,wof-NZL_386
NZ27-220,wof-NZL_387
relation/17609399-220,wof-NZL_388
way/232382576-220,wof-NZL_398
way/89943957-220,wof-NZL_399
way/89943957-220,wof-NZL_400
way/89637277-220,wof-NZL_406
way/89637277-220,wof-NZL_407
way/89637277-220,wof-NZL_408
way/167286837-220,wof-NZL_421
way/167286837-220,wof-NZL_422
way/167286837-220,wof-NZL_423
way/268826084-220,wof-NZL_424
way/95048289-220,wof-NZL_430
way/95048289-220,wof-NZL_431
way/95048289-220,wof-NZL_432
NZ27-220,wof-NZL_433
way/167705537-220,wof-NZL_434
way/167705537-220,wof-NZL_435
relation/17609399-220,wof-NZL_436
way/232382576-220,wof-NZL_444
way/232382576-220,wof-NZL_445
way/89943957-220,wof-NZL_446
way/89943957-220,wof-NZL_447
way/89943957-220,wof-NZL_448
NZ29-220,wof-NZL_469
NZ29-220,wof-NZL_470
NZ29-220,wof-NZL_471
way/167705537-220,wof-NZL_478
way/167705537-220,wof-NZL_479
way/167705537-220,wof-NZL_480
relation/17609399-220,wof-NZL_481
relation/17609399-220,wof-NZL_482
relation/17609399-220,wof-NZL_483
way/232382576-220,wof-NZL_488
way/232382576-220,wof-NZL_489
way/232382576-220,wof-NZL_490
way/89943957-220,wof-NZL_491
way/89943957-220,wof-NZL_492
way/89943957-220,wof-NZL_493
way/89943957-220,wof-NZL_496
way/100957314-220,wof-NZL_513
way/100957314-220,wof-NZL_514
way/100957314-220,wof-NZL_515
way/93827784-220,wof-NZL_516
way/95046918-220,wof-NZL_517
way/95046918-220,wof-NZL_518
way/167705537-220,wof-NZL_522
way/167705537-220,wof-NZL_523
relation/17609399-220,wof-NZL_524
relation/17609399-220,wof-NZL_525
relation/17609399-220,wof-NZL_526
relation/17609399-220,wof-NZL_527
way/188180344-220,wof-NZL_528
way/188180344-220,wof-NZL_529
way/61853727-220,wof-NZL_530
way/61853727-220,wof-NZL_531
way/232382576-220,wof-NZL_532
way/232382576-220,wof-NZL_533
way/89943957-220,wof-NZL_534
way/89943957-220,wof-NZL_535
way/89943957-220,wof-NZL_536
way/100957314-220,wof-NZL_560
way/100957314-220,wof-NZL_561
way/100957314-220,wof-NZL_562
way/100957314-220,wof-NZL_563
way/93827784-220,wof-NZL_564
way/95046918-220,wof-NZL_565
way/95046918-220,wof-NZL_566
way/95343089-220,wof-NZL_567
way/95343089-220,wof-NZL_568
way/95343089-220,wof-NZL_569
way/95343089-220,wof-NZL_570
relation/17609399-220,wof-NZL_571
relation/17609399-220,wof-NZL_572
relation/17609399-220,wof-NZL_574
relation/17609399-220,wof-NZL_575
way/188180344-220,wof-NZL_576
way/188180344-220,wof-NZL_577
way/61853727-220,wof-NZL_578
way/232382576-220,wof-NZL_580
way/89943957-220,wof-NZL_582
way/89943957-220,wof-NZL_583
way/89943957-220,wof-NZL_584
way/89943957-220,wof-NZL_585
way/89943957-220,wof-NZL_586
way/100957314-220,wof-NZL_607
way/100957314-220,wof-NZL_608
way/100957314-220,wof-NZL_609
way/100957314-220,wof-NZL_610
way/95343089-220,wof-NZL_611
way/95343089-220,wof-NZL_612
way/95343089-220,wof-NZL_614
way/95343089-220,wof-NZL_615
NZ26-220,wof-NZL_617
way/95344674-220,wof-NZL_618
way/167427251-220,wof-NZL_622
NZ9-220,wof-NZL_623
way/82881422-220,wof-NZL_627
way/89943957-220,wof-NZL_628
way/89943957-220,wof-NZL_629
way/89943957-220,wof-NZL_630
way/89943957-220,wof-NZL_631
way/89943957-220,wof-NZL_632
way/100957314-220,wof-NZL_655
way/100957314-220,wof-NZL_656
way/95343089-220,wof-NZL_657
way/95343089-220,wof-NZL_658
way/95343089-220,wof-NZL_659
way/93713118-220,wof-NZL_660
way/93713118-220,wof-NZL_662
way/1167708390-220,wof-NZL_663
NZ5-220,wof-NZL_672
NZ3-220,wof-NZL_673
NZ3-220,wof-NZL_674
way/89943957-220,wof-NZL_675
way/89943957-220,wof-NZL_676
way/89943957-220,wof-NZL_678
way/89637277-220,wof-NZL_689
way/100957314-220,wof-NZL_694
way/100957314-220,wof-NZL_695
way/93713118-220,wof-NZL_704
way/93713118-220,wof-NZL_705
way/93713118-220,wof-NZL_706
way/1026587442-220,wof-NZL_708
way/1026587442-220,wof-NZL_709
way/167572576-220,wof-NZL_710
way/167572576-220,wof-NZL_711
way/119877500-220,wof-NZL_718
way/119877500-220,wof-NZL_719
way/119877500-220,wof-NZL_720
NZ3-220,wof-NZL_721
way/100957314-220,wof-NZL_735
way/100957314-220,wof-NZL_736
way/100957314-220,wof-NZL_739
way/100957314-220,wof-NZL_740
way/93713118-220,wof-NZL_750
way/1026587442-220,wof-NZL_751
way/93419960-220,wof-NZL_754
way/93419960-220,wof-NZL_755
way/93419960-220,wof-NZL_756
way/167283894-220,wof-NZL_762
way/167283894-220,wof-NZL_763
way/167283894-220,wof-NZL_764
way/167283894-220,wof-NZL_765
way/100957314-220,wof-NZL_779
way/100957314-220,wof-NZL_780
way/100957314-220,wof-NZL_781
way/100957314-220,wof-NZL_782
way/100957314-220,wof-NZL_783
way/100957314-220,wof-NZL_784
way/93419960-220,wof-NZL_800
way/93419960-220,wof-NZL_801
way/95512216-220,wof-NZL_802
way/95512216-220,wof-NZL_803
NZ13-220,wof-NZL_804
way/167283894-220,wof-NZL_805
way/167283894-220,wof-NZL_806
way/167283894-220,wof-NZL_808
way/167283894-220,wof-NZL_809
way/100957314-220,wof-NZL_831
way/100957314-220,wof-NZL_832
way/100957314-220,wof-NZL_833
way/100957314-220,wof-NZL_834
way/100957314-220,wof-NZL_835
way/100957314-220,wof-NZL_836
way/93419960-220,wof-NZL_853
way/95512216-220,wof-NZL_854
way/95512216-220,wof-NZL_855
NZ13-220,wof-NZL_856
way/167283894-220,wof-NZL_857
way/167283894-220,wof-NZL_858
way/167283894-220,wof-NZL_862
way/100957314-220,wof-NZL_886
way/100957314-220,wof-NZL_887
way/100957314-220,wof-NZL_888
way/100957314-220,wof-NZL_889
way/93713118-220,wof-NZL_890
way/167283894-220,wof-NZL_911
way/167283894-220,wof-NZL_912
way/89943957-220,wof-NZL_926
way/89943957-220,wof-NZL_927
way/89943957-220,wof-NZL_928
way/89943957-220,wof-NZL_929
way/93713118-220,wof-NZL_999
way/93713118-220,wof-NZL_1000
way/93713118-220,wof-NZL_1001
way/93713118-220,wof-NZL_1002
way/93419960-220,wof-NZL_1008
way/93419960-220,wof-NZL_1009
way/93419960-220,wof-NZL_1010
way/93419960-220,wof-NZL_1011
way/93419960-220,wof-NZL_1012
way/167283894-220,wof-NZL_1035
way/167283894-220,wof-NZL_1036
way/167283894-220,wof-NZL_1037
way/89943957-220,wof-NZL_1038
way/89943957-220,wof-NZL_1039
way/89943957-220,wof-NZL_1040
way/89943957-220,wof-NZL_1044
way/93419960-220,wof-NZL_1063
way/93419960-220,wof-NZL_1064
way/93419960-220,wof-NZL_1065
way/93419960-220,wof-NZL_1066
way/93419960-220,wof-NZL_1067
way/93419960-220,wof-NZL_1068
way/167283894-220,wof-NZL_1090
way/167283894-220,wof-NZL_1091
way/167283894-220,wof-NZL_1092
way/89943957-220,wof-NZL_1093
way/89943957-220,wof-NZL_1094
way/89943957-220,wof-NZL_1095
way/89943957-220,wof-NZL_1096
way/89943957-220,wof-NZL_1097
way/93419960-220,wof-NZL_1116
way/93419960-220,wof-NZL_1117
way/93419960-220,wof-NZL_1118
way/93419960-220,wof-NZL_1119
way/93419960-220,wof-NZL_1120
